idx,날짜,기준금리(%)1,국내총생산(시장가격 GDP)(십억원)1,국내총소득(GDI)1,국민총소득(GNI)1,소비자물가지수(2015 = 100),경제성장률(%)1,실업률(%)3,국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원)8,KOSPI(평균),KOSDAQ(평균)2,아파트 거래량 매매(전국),총 인구(명)1,가계대출(조원)1,평균전세가율(전국)1,평균아파트매매가격(전국)
151,2014년 7월,2.5,402957.7,387117,389621.2,99.353,0.9,3.8,30.2,34.8,1062.82,2021.95,532.72,76001,51233579,978.4,69.76015831,311.1
152,2014년 8월,2.5,404195.7,389656.7,391668.7,99.499,0.3,3.5,30.2,34.8,1056.67,2060.93,554.68,85012,51250261,999,69.84409161,328.5
153,2014년 9월,2.25,404195.7,389656.7,391668.7,99.672,0.3,3.5,30.2,34.8,1064.75,2042.71,556.76,85956,51266779,999,69.929335,326
154,2014년 10월,2.25,404195.7,389656.7,391668.7,99.608,0.3,3.4,29.5,35.5,1071.3,1942.8,573.43,93313,51284774,999,70.01247451,315.6
155,2014년 11월,2,406003.3,395026.3,398289,99.308,0.4,3.3,29.5,35.5,1070.89,1959.65,557.55,114923,51302044,1025.1,70.09615046,311.8
156,2014년 12월,2,406003.3,395026.3,398289,99.108,0.4,3.1,29.5,35.5,1044.55,1941.93,542.29,95776,51314683,1025.1,70.2050329,321.9
157,2015년 1월,2,406003.3,395026.3,398289,99.098,0.4,3.2,29,36.9,1024.99,1920.99,539.52,102316,51327916,1025.1,70.33515967,330.5
158,2015년 2월,2,409483.1,408312.2,412619.6,99.77,0.9,3,29,36.9,1019.36,1961,577.28,90006,51342881,1039.3,70.45002904,339.7
159,2015년 3월,2,409483.1,408312.2,412619.6,99.71,0.9,3.3,29,36.9,1019.93,2012.62,605.85,85517,51360454,1039.3,70.57085069,341.9
160,2015년 4월,1.75,409483.1,408312.2,412619.6,99.72,0.9,3.7,29.3,36.1,1025.36,2107.27,634.72,116022,51378174,1039.3,70.72089258,340.4
161,2015년 5월,1.75,411150.7,410199.7,409987.4,99.75,0.4,4.5,29.3,36.1,1033.24,2114.9,685.35,121540,51395238,1072,70.90555465,344.9
162,2015년 6월,1.75,411150.7,410199.7,409987.4,100.03,0.4,4,29.3,36.1,1060.28,2063.69,697.55,108948,51413925,1072,71.02650233,346.1
