idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(강원),총 인구(명),가계대출(조원),평균전세가율(강원),평균아파트매매가격(강원)
127,2012년 7월,3.25,377917.1,357987.7,362793.9,96.603,0.4,3.2,33.8,34.1,1118.61,2023.41,474.78,2131,50832898,875,70.22952884,146.3
128,2012년 8월,3,379552.7,363294.2,366827.3,96.385,0.4,3.1,31.8,34.1,1155.45,1995.92,480.6,1228,50851082,885.7,70.30716876,148.4
129,2012년 9월,3,379552.7,363294.2,366827.3,96.831,0.4,3,31.8,34.1,1132.31,1886.35,485.39,1150,50871606,885.7,70.43637022,152.2
130,2012년 10월,3,379552.7,363294.2,366827.3,97.523,0.5,2.9,31.8,34.2,1147.45,1848.6,518.73,1701,50891223,885.7,70.58734502,151.8
131,2012년 11월,2.75,381467.5,363255.6,366536.7,97.341,0.5,2.8,29.7,34.2,1145.85,1826.75,523.96,2123,50912264,905.9,70.71387414,150.9
132,2012년 12월,2.75,381467.5,363255.6,366536.7,96.995,0.5,2.8,29.7,34.2,1123.35,1918.91,503.9,2700,50930805,905.9,70.75381722,150.1
133,2013년 1월,2.75,381467.5,363255.6,366536.7,97.168,0.9,2.9,29.7,34.6,1125.9,1961.29,488.59,1185,50948272,905.9,70.88372113,151.4
134,2013년 2월,2.75,384831,367763.8,370296.2,97.751,0.9,3.4,29.1,34.6,1135.55,1942.19,508.58,1732,50965180,909,71.01155067,153.6
135,2013년 3월,2.75,384831,367763.8,370296.2,98.078,0.9,3.9,29.1,34.6,1154.27,1904.7,515.55,1958,50991003,909,71.42107007,154.9
136,2013년 4월,2.75,384831,367763.8,370296.2,97.987,1.2,3.5,29.1,35.1,1165.51,1973.84,547.08,2160,51003843,909,71.48261255,153.6
137,2013년 5월,2.75,389358.3,374293.6,376886.6,97.851,1.2,3.2,30.1,35.1,1143.36,1986.1,551.68,3228,51018468,926.3,71.50162714,155.4
138,2013년 6월,2.5,389358.3,374293.6,376886.6,97.851,1.2,3,30.1,35.1,1131.69,1979.85,571.9,3940,51034494,926.3,71.74963219,152.8
139,2013년 7월,2.5,389358.3,374293.6,376886.6,97.732,0.9,3.1,30.1,34.7,1124.78,1990.24,530.76,1409,51047880,926.3,71.78965476,155.9
140,2013년 8월,2.5,392697.2,379137.9,381144.4,97.942,0.9,3.1,29,34.7,1106.93,1938.88,534.23,1329,51064841,938.9,71.83259761,156.7
141,2013년 9월,2.5,392697.2,379137.9,381144.4,98.288,0.9,3,29,34.7,1087.52,1974.45,540.91,1437,51081507,938.9,71.86078851,162.1
142,2013년 10월,2.5,392697.2,379137.9,381144.4,98.479,0.8,2.7,29,34.8,1076.97,1884.41,527.96,2269,51098531,938.9,71.86798084,163.8
143,2013년 11월,2.5,395787.2,380799.9,383298.4,98.179,0.8,2.7,29.6,34.8,1065.35,1871.77,530.55,1893,51115702,960.6,71.86443462,161.8
144,2013년 12월,2.5,395787.2,380799.9,383298.4,98.16,0.8,2.6,29.6,34.8,1086.68,1896.96,513.81,2774,51127984,960.6,71.83603622,161.8
145,2014년 1월,2.5,395787.2,380799.9,383298.4,98.279,1,3,29.6,34.6,1102.2,1984.39,496.17,1533,51141463,960.6,72.02588452,164.5
146,2014년 2월,2.5,399560.7,385013.6,384827.8,98.807,1,3.4,30.2,34.6,1121.83,2029.68,512.44,2697,51156168,965.3,72.20365089,164.5
147,2014년 3월,2.5,399560.7,385013.6,384827.8,99.071,1,4.5,30.2,34.6,1110.67,2009.92,521.33,2561,51171176,965.3,72.34094479,157
148,2014년 4월,2.5,399560.7,385013.6,384827.8,99.253,0.9,3.9,30.2,35.1,1135.21,1988.33,541.28,2563,51185882,965.3,72.48131045,157.8
149,2014년 5월,2.5,402957.7,387117,389621.2,99.317,0.9,3.8,29.6,35.1,1127.23,1948.22,559.97,2477,51202130,978.4,72.50800028,158.2
150,2014년 6월,2.5,402957.7,387117,389621.2,99.481,0.9,3.5,29.6,35.1,1116.98,1937.73,551,2652,51218424,978.4,72.53232048,158.7
151,2014년 7월,2.5,402957.7,387117,389621.2,99.353,0.3,3.5,29.6,34.8,1087.35,1952.43,532.72,2662,51233579,978.4,72.58053407,158.9
152,2014년 8월,2.5,404195.7,389656.7,391668.7,99.499,0.3,3.4,29.5,34.8,1066.8,1991.19,554.68,3296,51250261,999,72.58874314,162.7
153,2014년 9월,2.25,404195.7,389656.7,391668.7,99.672,0.3,3.3,29.5,34.8,1062.82,1994.13,556.76,2789,51266779,999,72.5977827,159.9
154,2014년 10월,2.25,404195.7,389656.7,391668.7,99.608,0.4,3.1,29.5,35.5,1056.67,1995.08,573.43,3481,51284774,999,72.62939897,161.6
155,2014년 11월,2,406003.3,395026.3,398289,99.308,0.4,3.2,30.2,35.5,1064.75,2021.95,557.55,2747,51302044,1025.1,72.6288697,163.2
156,2014년 12월,2,406003.3,395026.3,398289,99.108,0.4,3,30.2,35.5,1071.3,2060.93,542.29,2636,51314683,1025.1,72.64630534,159.4
157,2015년 1월,2,406003.3,395026.3,398289,99.098,0.9,3.3,30.2,36.9,1070.89,2042.71,539.52,1862,51327916,1025.1,72.67837255,171.9
158,2015년 2월,2,409483.1,408312.2,412619.6,99.77,0.9,3.7,29.5,36.9,1044.55,1942.8,577.28,2069,51342881,1039.3,72.71462317,165.9
159,2015년 3월,2,409483.1,408312.2,412619.6,99.71,0.9,4.5,29.5,36.9,1024.99,1959.65,605.85,2679,51360454,1039.3,72.78327314,172.4
160,2015년 4월,1.75,409483.1,408312.2,412619.6,99.72,0.4,4,29.5,36.1,1019.36,1941.93,634.72,2518,51378174,1039.3,72.78186821,170.1
161,2015년 5월,1.75,411150.7,410199.7,409987.4,99.75,0.4,3.9,29,36.1,1019.93,1920.99,685.35,2220,51395238,1072,72.81684259,171.7
162,2015년 6월,1.75,411150.7,410199.7,409987.4,100.03,0.4,3.7,29,36.1,1025.36,1961,697.55,2945,51413925,1072,72.83084297,169
163,2015년 7월,1.5,411150.7,410199.7,409987.4,100.05,1.5,3.8,29,36.9,1033.24,2012.62,722.83,3157,51431100,1072,75.87613345,172.2
164,2015년 8월,1.5,417190.5,418259.9,419416.6,100.23,1.5,3.6,29.3,36.9,1060.28,2107.27,753.83,2286,51448183,1101.4,75.8162693,177.3
165,2015년 9월,1.5,417190.5,418259.9,419416.6,100.37,1.5,3.4,29.3,36.9,1095.1,2114.9,698.16,2346,51465228,1101.4,75.83002207,179.4
166,2015년 10월,1.5,417190.5,418259.9,419416.6,100.11,0.7,3.2,29.3,35.8,1104.33,2063.69,672.04,2595,51482816,1101.4,75.87943519,179.2
167,2015년 11월,1.5,420196,421248.6,421182.9,100.11,0.7,3.1,29.9,35.8,1088.86,2058.03,683.14,2700,51500986,1138,75.84549327,183.9
168,2015년 12월,1.5,420196,421248.6,421182.9,99.92,0.7,3,29.9,35.8,1098.4,1952.55,680.23,3288,51515399,1138,75.85872868,181.4
169,2016년 1월,1.5,420196,421248.6,421182.9,100.22,0.3,3.2,29.9,37,1112.57,1939.58,665.95,3240,51529338,1138,75.86058738,187.8
170,2016년 2월,1.5,421397.6,431674.4,432831.1,100.39,0.3,3.7,29.9,37,1088.66,2020.57,678.81,2616,51541582,1158.4,75.85822608,186.9
